state(s),date,time,dead,inj,yards,miles,F,counties
IA,04181880,2000,0,0,200,8,F2,DAVIS
IA,06091880,1830,7,20,500,15,F4,POTTAWATTAMIE
IA,06091880,1910,0,0,,7,F2,POTTAWATTAMIE /CASS
IA,06111881,1500,0,0,,,F2,WRIGHT
IA,06111881,1600,1,8,50,10,F3,HANCOCK
IA,06111881,1615,2,6,300,30,F4,WARREN /POLK /JASPER
IA,06121881,1900,0,10,200,10,F3,GUTHRIE
IA,06281881,1900,3,20,400,10,F4,CHEROKEE
IA,08051881,1600,0,0,400,s30,F2,SIOUX /O'BRIEN
IA,09261881,1635,0,7,200,6,F3,FAYETTE /CLAYTON /ALLAMAKEE
IA,04081882,1700,0,1,30,,F2,WEBSTER
IA,04081882,1800,0,3,100,12,F3,STORY
IA,06171882,1830,68,300,800,005,F5,GREENE /BOONE /STORY /MARSHALL /JASPER /POWESHIEK
IA,06171882,1900,1,5,200,33,F4,BOONE /STORY
IA,06211882,0615,5,50,800,20,F4,O'BRIEN /CLAY
IA,10301882,1530,2,6,400,10,F2,SCOTT
IA,04211883,1830,0,6,,7,F2,MONONA /WOODBURY
IA,04211883,2000,2,10,150,10,F4,HARRISON /CRAWFORD
IA,06111883,1500,0,8,100,10,F3,CLAYTON
IA,07041884,1800,0,0,70,3,F3,HARDIN
IA,09091884,1700,,4,100,,F2,PLYMOUTH
IA,06121885,1500,0,4,,5,F2,JASPER
IA,06121885,1730,3,10,200,10,F4,DAVIS
IA,06121885,1830,0,13,300,14,F3,MONONA
IA,06121885,2250,0,5,200,4,F2,IDA
IA,11061885,1500,0,0,75,8,F3,DES MOINES /LOUISA
IA,04141886,1500,3,18,400,f55,F4,CASS /AUDUBON /GUTHRIE /CARROLL
IA,04141886,1700,0,1,70,3,F2,STORY
IA,04141886,1800,0,0,,,F2,GREENE
IA,04141886,1815,0,5,100,f45,F3,FREMONT /MILLS /MONTGOMERY /POTTAWATTAMIE
IA,04141886,1945,0,15,200,20,F3,TAYLOR /ADAMS
IA,04141886,2100,0,,100,5,F2,ADAIR
IA,04051888,,,,,,F2,WOODBURY
IA,07041888,,,,100,5,F2,BLACK HAWK
IA,11011888,2000,0,0,200,7,F2,BLACK HAWK /BENTON
IA,06041890,1330,0,0,,4,F2,ADAIR /GUTHRIE
IA,06041890,1430,0,40,150,20,F3,GUTHRIE /DALLAS /GREENE /BOONE
IA,06041890,1445,0,6,150,4,F2,BOONE /HAMILTON
IA,06041890,1500,0,4,200,10,F3,HARDIN
IA-MN,06041890,1530,0,18,150,10,F3,HOWARD. IA /FILLMORE. MN
IA,06041890,1630,0,2,200,15,F3,WEBSTER /HUMBOLDT /WRIGHT
IA,06231890,1800,0,0,,15,F2,MITCHELL /HOWARD
IA,09181890,,1,,,,F2,CRAWFORD
IA,06231891,2000,0,0,200,4,F2,OBRIEN
IA,07011891,1700,,,,,F2,CHEROKEE
IA,07011891,1830,0,1,,,F2,AUDUBON
IA,07011891,1830,,4,,5,F2,CARROLL
IA,12211891,2000,0,1,30,3,F2,MARSHALL
IA,06161892,1600,,,50,4,F2,BLACK HAWK
IA,06221892,1700,1,8,400,15,F3,CHICKASAW /BREMER
IA,06221892,1730,0,0,,,F2,BREMER
IA,07021892,1500,,,200,5,F2,CLINTON /SCOTT
IA,04111893,1800,0,4,300,6,F2,CALHOUN /POCAHONTAS
IA,04111893,2000,0,1,100,4,F2,JASPER
IA,06211893,1700,0,2,300,10,F2,ADAIR /GUTHRIE
IA,07061893,1635,71,200,500,55,F5,CHEROKEE /BUENA VISTA /POCAHONTAS /CALHOUN
IA,05051894,1730,1,5,200,32,F4,APPANOOSE /DAVIS
IA,06201894,2045,0,0,100,7,F2,WRIGHT
IA,09211894,1800,,,,15,F2,CLAY
IA,09211894,1830,3,,,13,F3,PALO ALTO
IA-MN,09211894,2000,14,100,1500,f50,F5,KOSSUTH /HANCOCK /WINNEBAGO. IA /FARIBAULT. MN
IA-MN,09211894,2030,16,70,800,f60,F4,CERRO GORDO /MITCHELL. IA /MOWER /FILLMORE. MN
IA,09211894,2030,25,60,1000,f40,F4,KOSSUTH /HANCOCK /CERRO GORDO /WORTH
IA,09211894,2115,5,20,,f25,F4,MITCHELL /HOWARD
IA,05031895,1520,9,35,1000,13,F5,SIOUX
IA,05031895,1550,0,1,100,5,F2,SIOUX /LYON
IA,05031895,1600,1,1,200,5,F3,OSCEOLA
IA,05031895,2030,0,5,100,7,F3,MADISON
IA,07261895,1800,0,1,150,7,F3,BREMER /BLACK HAWK
IA,04281896,2300,0,2,,5,F2,POWESHIEK
IA,05181896,2000,0,4,,,F2,DECATUR
IA,05241896,2100,0,0,,3,F2,DELAWARE
IA,05241896,2230,21,60,500,20,F4,POLK /JASPER
IA,07261896,2000,1,1,100,20,F2,MARSHALL
IA,09161896,1300,0,1,400,5,F3,MONROE
IA,09161896,1400,0,2,200,s25,F2,LUCAS /MONROE
IA,04231897,2050,0,,100,5,F2,JONES
IA,04301898,1630,0,0,100,9,F2,PLYMOUTH /SIOUX
IA,04301898,1730,0,6,,18,F2,SIOUX /O’BRIEN
IA,04301898,1730,2,1,300,15,F4,SIOUX /O’BRIEN
IA,04301898,1900,2,,,8,F3,POCAHONTAS /PALO ALTO
IA-IL,05181898,1645,28,150,1000,f85,F4,CEDAR /CLINTON /JACKSON. IA /CARROLL /OGLE. IL
IA,05311898,1830,0,0,,4,F2,POWESHIEK
IA,07271898,1500,2,5,150,15,F4,MILLS /MONTGOMERY
IA,08161898,1500,0,0,200,6,F2,BUCHANAN /FAYETTE
IA,04261899,2200,1,10,400,11,F4,MONONA /CRAWFORD
IA,04301899,1500,0,5,,15,F2,POTTAWATTAMIE
IA,04301899,1530,0,0,,5,F2,POTTAWATTAMIE /SHELBY
IA,05161899,2030,4,14,200,10,F4,DELAWARE /CLAYTON
IA,05271899,1715,0,7,200,5,F3,KEOKUK
IA,05281899,1545,0,0,200,15,F3,POLK /JASPER
IA,05281899,1830,0,0,300,5,F2,JOHNSON
IA,05301899,1920,0,0,200,12,F3,WOODBURY /PLYMOUTH
IA,05301899,2113,0,3,70,4,F2,POCAHONTAS
IA,05301899,2130,0,,,,F2,MILLS
IA,05301899,2130,1,8,100,8,F3,MILLS /POTTAWATTAMIE
IA,05301899,2230,0,6,300,10,F3,ADAIR
IA,05311899,0015,0,1,70,7,F2,IOWA /JOHNSON
IA,06131899,1600,0,,,7,F2,KOSSUTH
IA,06131899,1600,0,0,,,F2,PALO ALTO
IA,09251900,1945,0,0,200,5,F2,TAYLOR
IA,09251900,2000,0,6,25,2,F2,UNION
IA,09251900,2015,2,11,70,6,F3,MARSHALL
IA,05011902,1645,0,5,100,15,F3,DECATUR /CLARKE /LUCAS
IA,05011902,,0,1,,15,F2,GUTHRIE /GREENE
IA,05191902,1730,,,150,3,F2,AUDUBON
IA,07051902,1800,0,1,50,s25,F2,MONONA /WOODBURY
IA,07081902,1630,1,5,,16,F2,IOWA /JOHNSON
IA,04111903,1630,0,1,100,2,F2,CALHOUN
IA,05241903,1730,1,7,200,3,F2,POCAHONTAS
IA,05261903,1645,0,8,,3,F2,UNION
IA,05261903,1800,2,,,5,F3,POLK
